Gene	FDR
ENSG00000169398	0.000348601267703
ENSG00000087074	0.000271203263058
ENSG00000173166	0.000451057617898
ENSG00000038382	0.00130557524983
ENSG00000158825	4.5E-05
ENSG00000186866	0.000218882828679
ENSG00000026025	0.028288141921022
ENSG00000149925	0.000151258181427
ENSG00000150961	0.002055444637129
ENSG00000147027	0.000225291194335
ENSG00000113615	6.08E-05
ENSG00000145592	0.0010373828214
ENSG00000130066	2.92E-05
ENSG00000139436	0.000982015543437
ENSG00000070614	0.000140772999736
ENSG00000110944	0.000322336723315
ENSG00000057294	0.004409149344468
ENSG00000197381	0.001223108828982
ENSG00000185499	0.005371965750352
ENSG00000154719	0.025908222726797
ENSG00000163516	0.000372044094295
ENSG00000144747	0.00070916860709
ENSG00000180263	0.009502950918888
ENSG00000123562	0.00173338485356
ENSG00000120063	2.4E-05
ENSG00000249992	2.27E-05
ENSG00000186815	0.001338881961246
ENSG00000186918	0.002874862710488
ENSG00000078699	0.000812823806456
ENSG00000095951	8.41E-05
ENSG00000181826	7.17E-05
ENSG00000099875	0.000118353646815
ENSG00000124496	0.014993225719315
ENSG00000080031	0.001694365874211
ENSG00000133606	3.61E-05
ENSG00000283997	0.010886635758961
ENSG00000011638	0.010886635758961
ENSG00000151092	0.033057922986049
ENSG00000123384	0.00411349847691
ENSG00000138640	1.87E-05
ENSG00000186001	0.008939844627854
ENSG00000106263	0.001542768225767
ENSG00000178726	0.001787272499878
ENSG00000183742	0.043548577188971
ENSG00000143437	0.006288590335686
ENSG00000173451	0.006408196367552
ENSG00000159399	7.61E-05
ENSG00000148634	0.004683973822173
ENSG00000161011	0.000307964110923
ENSG00000159167	0.001838902325073
ENSG00000164849	0.001787272499878
ENSG00000145592	0.000147885644836
ENSG00000186918	0.000661513082543
ENSG00000112972	1.49E-05
ENSG00000095739	0.001128186831281
ENSG00000105971	2.74E-06
ENSG00000184840	0.028244820076756
ENSG00000151914	0.000386298212348
ENSG00000143079	0.012166825776328
ENSG00000144674	0.005006427490914
ENSG00000130821	0.00012315579093
ENSG00000131016	0.000180842799648
ENSG00000109787	0.001137668576002
ENSG00000165312	0.005440015826973
ENSG00000185022	0.000274567212726
ENSG00000134107	0.000125231686822
ENSG00000273707	0.000263022226902
ENSG00000129757	0.000263022226902
ENSG00000102144	0.000187901687162
ENSG00000102606	0.011175511735937
ENSG00000115556	0.000416293491874
ENSG00000099337	0.000505211122529
ENSG00000111790	0.002952947177459
ENSG00000124942	0.001069258066503
ENSG00000173166	0.000135360124219
ENSG00000073605	0.033376363223405
ENSG00000122359	0.000164143315404
ENSG00000106366	0.001978936223055
ENSG00000143797	5.54E-05
ENSG00000006453	0.000173220791472
ENSG00000142634	0.000360351010453
ENSG00000112033	0.000225641550104
ENSG00000100505	0.049935137838567
ENSG00000142867	0.02058174485276
ENSG00000186918	0.000216087036216
ENSG00000070669	0.000654876828906
ENSG00000105146	0.04449102907359
ENSG00000109046	2.83E-05
ENSG00000115419	6.35E-05
ENSG00000167779	6.9E-05
ENSG00000185022	3.13E-05
ENSG00000141646	0.001416347084327
ENSG00000051108	3.21E-05
ENSG00000090339	0.00047474354692
ENSG00000125844	0.000403120370064
ENSG00000150403	0.002312766844741
ENSG00000129355	0.000280980587785
ENSG00000150457	0.006292761165517
ENSG00000101213	0.002789733255275
ENSG00000187231	0.00602394527471
ENSG00000241697	0.000850076757383
ENSG00000070190	0.013544760783052
ENSG00000128965	0.000445839758359
ENSG00000153234	0.013906556122167
ENSG00000197279	0.002354188532392
ENSG00000173166	0.000108078117271
ENSG00000132669	0.009441220765632
ENSG00000186480	0.000500553460353
ENSG00000197747	0.000706694213758
ENSG00000175161	0.031310528764752
ENSG00000164096	4.68E-05
ENSG00000143507	0.001008616476542
ENSG00000142002	0.004455729500693
ENSG00000243509	0.000123901993272
ENSG00000169155	0.003339852376693
ENSG00000242616	0.000289247886637
ENSG00000180176	0.005832424865454
ENSG00000278843	0.001048427162332
ENSG00000271447	0.001048427162332
